Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
83,Entry Short,做空:73,2023-08-20 23:00,26121.0,0.003829,0.51,0.51,16.94,0.44,0.51,0.51,0.05,0.05
82,Exit Long,损72,2023-08-17 05:00,28897.0,0.003432,-0.92,-0.92,16.43,-0.78,0.22,0.22,0.92,0.92
82,Entry Long,做多:72,2023-08-17 03:00,29164.0,0.003432,-0.92,-0.92,16.43,-0.78,0.22,0.22,0.92,0.92
81,Exit Long,损71,2023-08-17 05:00,28912.0,0.003433,-0.83,-0.83,17.34,-0.7,0.26,0.26,0.83,0.83
81,Entry Long,做多:71,2023-08-17 00:00,29153.0,0.003433,-0.83,-0.83,17.34,-0.7,0.26,0.26,0.83,0.83
80,Exit Long,损70,2023-08-17 05:00,28913.9,0.003434,-0.81,-0.81,18.17,-0.68,0.27,0.27,0.81,0.81
80,Entry Long,做多:70,2023-08-16 22:00,29150.0,0.003434,-0.81,-0.81,18.17,-0.68,0.27,0.27,0.81,0.81
79,Exit Long,损69,2023-08-17 01:00,28990.6,0.003429,-0.69,-0.69,18.98,-0.57,0.08,0.08,0.69,0.69
79,Entry Long,做多:69,2023-08-16 16:00,29191.0,0.003429,-0.69,-0.69,18.98,-0.57,0.08,0.08,0.69,0.69
78,Exit Long,损68,2023-08-12 01:00,29263.7,0.003404,-0.50,-0.5,19.66,-0.41,0.48,0.48,0.50,0.5
78,Entry Long,做多:68,2023-08-11 14:00,29410.0,0.003404,-0.50,-0.5,19.66,-0.41,0.48,0.48,0.50,0.5
77,Exit Long,损67,2023-08-12 01:00,29308.3,0.003387,-0.79,-0.79,20.16,-0.66,0.66,0.66,0.79,0.79
77,Entry Long,做多:67,2023-08-10 22:00,29542.5,0.003387,-0.79,-0.79,20.16,-0.66,0.66,0.66,0.79,0.79
76,Exit Short,盈66,2023-08-01 01:00,29164.4,0.003408,0.61,0.61,20.95,0.51,0.61,0.61,0.01,0.01
76,Entry Short,做空:66,2023-07-31 23:00,29344.5,0.003408,0.61,0.61,20.95,0.51,0.61,0.61,0.01,0.01
75,Exit Long,盈65,2023-07-28 23:00,29346.6,0.003425,0.52,0.52,20.34,0.43,0.52,0.52,0.07,0.07
75,Entry Long,做多:65,2023-07-28 19:00,29195.0,0.003425,0.52,0.52,20.34,0.43,0.52,0.52,0.07,0.07
74,Exit Short,盈64,2023-07-28 00:00,29299.6,0.00339,0.67,0.67,19.82,0.56,0.67,0.67,0.02,0.02
74,Entry Short,做空:64,2023-07-27 22:00,29496.0,0.00339,0.67,0.67,19.82,0.56,0.67,0.67,0.02,0.02
73,Exit Short,损63,2023-07-27 03:00,29386.8,0.003426,-0.69,-0.69,19.15,-0.58,0.16,0.16,0.69,0.69
73,Entry Short,做空:63,2023-07-26 14:00,29185.5,0.003426,-0.69,-0.69,19.15,-0.58,0.16,0.16,0.69,0.69
72,Exit Short,损62,2023-07-12 21:00,30877.5,0.003276,-1.18,-1.18,19.84,-0.97,0.81,0.81,1.18,1.18
